Country_ID,Year_ID,Series_ID,Value
110,1,6,76.5
111,1,1,-0.1
111,1,2,1.5
111,1,3,3.0
111,1,4,81.0
111,1,5,78.5
111,1,6,83.5
112,1,1,1.9
112,1,2,3.5
112,1,3,31.6
112,1,4,63.9
112,1,5,61.8
112,1,6,66.1
113,1,1,0.1
113,1,2,1.8
113,1,3,8.9
113,1,4,82.8
113,1,5,80.9
113,1,6,84.7
114,1,1,-0.5
114,1,2,1.4
114,1,3,3.4
114,1,4,80.6
114,1,5,78.0
114,1,6,83.3
115,1,1,0.4
115,1,2,2.0
115,1,3,8.6
115,1,4,72.6
115,1,5,70.1
115,1,6,76.0
116,1,1,0.6
116,1,2,2.0
116,1,3,12.3
116,1,4,75.3
116,1,5,72.6
116,1,6,78.3
117,1,1,-0.1
117,1,2,2.0
117,1,3,4.4
117,1,4,80.8
117,1,5,77.3
117,1,6,83.9
118,1,1,0.7
118,1,2,2.6
118,1,3,9.7
118,1,4,78.3
118,1,5,74.8
118,1,6,82.0
119,1,1,1.4
119,1,2,2.4
119,1,3,19.8
119,1,4,68.7
119,1,5,65.7
119,1,6,71.8
120,1,1,2.4
120,1,2,4.3
120,1,3,63.9
120,1,4,59.0
120,1,5,57.6
120,1,6,60.2
121,1,1,2.1
121,1,2,3.9
121,1,3,50.1
121,1,4,59.9
121,1,5,57.7
121,1,6,61.9
122,1,1,0.5
122,1,2,2.4
122,1,3,23.6
122,1,4,66.0
122,1,5,62.8
122,1,6,69.4
123,1,1,1.2
123,1,2,2.8
123,1,3,43.4
123,1,4,63.7
123,1,5,60.9
123,1,6,66.7
124,1,1,1.0
125,1,1,1.5
125,1,2,2.3
125,1,3,12.8
125,1,4,70.7
125,1,5,68.5
125,1,6,73.2
126,1,1,5.6
126,1,2,1.6
126,1,3,3.3
126,1,4,75.0
126,1,5,71.6
126,1,6,78.3
127,1,1,0.7
127,1,2,1.7
127,1,3,1.4
127,1,4,82.8
127,1,5,81.4
127,1,6,84.3
128,1,1,0.7
128,1,2,2.0
128,1,3,26.3
128,1,4,67.7
128,1,5,66.3
128,1,6,69.4
129,1,1,0.6
129,1,2,2.2
129,1,3,17.7
129,1,4,68.3
129,1,5,66.2
129,1,6,70.4
130,1,1,0.7
130,1,2,1.7
130,1,3,10.3
130,1,4,74.6
130,1,5,71.9
130,1,6,77.5
131,1,1,2.2
131,1,2,3.4
131,1,3,17.6
131,1,4,71.3
131,1,5,69.2
131,1,6,73.4
132,1,1,0.7
132,1,2,1.8
132,1,3,2.5
132,1,4,82.7
132,1,5,81.0
132,1,6,84.4
133,1,1,0.2
133,1,2,1.6
133,1,3,10.4
133,1,4,80.8
133,1,5,78.8
133,1,6,82.7
134,1,1,1.5
134,1,2,2.9
134,1,3,2.9
134,1,4,82.6
134,1,5,80.6
134,1,6,84.5
135,1,1,-0.3
135,1,2,1.3
135,1,3,2.1
135,1,4,84.1
135,1,5,82.0
135,1,6,86.0
136,1,1,-0.1
136,1,2,1.3
136,1,3,11.3
136,1,4,70.6
136,1,5,68.5
136,1,6,72.7
137,1,1,-0.5
137,1,2,1.3
137,1,3,1.7
137,1,4,84.8
137,1,5,81.8
137,1,6,87.8
138,1,1,0.5
138,1,2,2.8
138,1,3,12.4
138,1,4,74.2
138,1,5,72.1
138,1,6,76.7
139,1,1,1.1
139,1,2,3.0
139,1,3,8.5
139,1,4,69.5
139,1,5,65.8
139,1,6,73.0
140,1,1,2.0
140,1,2,3.3
140,1,3,28.0
140,1,4,62.1
140,1,5,59.6
140,1,6,64.7
141,1,1,1.8
141,1,2,3.3
141,1,3,37.4
141,1,4,67.7
141,1,5,65.7
141,1,6,69.4
142,1,1,1.0
142,1,2,2.1
142,1,3,6.7
142,1,4,80.3
142,1,5,78.9
142,1,6,82.8
143,1,1,1.6
143,1,2,2.9
143,1,3,13.1
143,1,4,70.5
